stageName,name,gender
Tom Hanks,Thomas Jeffrey Hanks,M
Robert Zemeckis,Robert Lee Zemeckis,M
Liv Tyler,Liv Rundgren Tyler,F
Steven Spielberg,Steven A Spielberg,M
Bruce Lee,Bruce Lee,M
